Wavelength_nm 1 2 3 4 5 6
509.5 -0.0024 0.0570 0.0452 0.0235 0.0045 -0.0061
510.0 -0.0026 0.0568 0.0450 0.0236 0.0045 -0.0062
510.5 -0.0026 0.0568 0.0449 0.0236 0.0041 -0.0064
511.0 -0.0026 0.0567 0.0450 0.0238 0.0041 -0.0062
511.5 -0.0023 0.0570 0.0452 0.0238 0.0045 -0.0061
512.0 -0.0025 0.0566 0.0450 0.0238 0.0043 -0.0062
512.5 -0.0021 0.0567 0.0452 0.0240 0.0044 -0.0061
513.0 -0.0022 0.0567 0.0449 0.0237 0.0043 -0.0060
513.5 -0.0024 0.0563 0.0446 0.0235 0.0043 -0.0063
514.0 -0.0023 0.0565 0.0447 0.0236 0.0043 -0.0061
514.5 -0.0026 0.0562 0.0443 0.0236 0.0040 -0.0061
515.0 -0.0025 0.0562 0.0445 0.0233 0.0039 -0.0063
515.5 -0.0023 0.0560 0.0444 0.0235 0.0042 -0.0064
516.0 -0.0027 0.0555 0.0440 0.0230 0.0038 -0.0064
516.5 -0.0024 0.0555 0.0439 0.0231 0.0038 -0.0063
517.0 -0.0026 0.0554 0.0436 0.0229 0.0040 -0.0064
517.5 -0.0027 0.0550 0.0433 0.0226 0.0039 -0.0064
518.0 -0.0024 0.0550 0.0432 0.0227 0.0040 -0.0061
518.5 -0.0027 0.0544 0.0428 0.0222 0.0036 -0.0063
519.0 -0.0028 0.0541 0.0425 0.0222 0.0037 -0.0063
519.5 -0.0022 0.0539 0.0427 0.0223 0.0039 -0.0061
520.0 -0.0023 0.0533 0.0420 0.0221 0.0038 -0.0063
520.5 -0.0027 0.0532 0.0416 0.0218 0.0035 -0.0063
521.0 -0.0024 0.0527 0.0414 0.0219 0.0036 -0.0060
521.5 -0.0023 0.0524 0.0407 0.0216 0.0037 -0.0060
522.0 -0.0027 0.0519 0.0406 0.0214 0.0036 -0.0061
522.5 -0.0025 0.0514 0.0402 0.0213 0.0035 -0.0059
523.0 -0.0024 0.0511 0.0400 0.0212 0.0038 -0.0059
523.5 -0.0027 0.0505 0.0392 0.0206 0.0034 -0.0062
524.0 -0.0022 0.0499 0.0391 0.0207 0.0035 -0.0059
524.5 -0.0026 0.0496 0.0384 0.0200 0.0033 -0.0061
525.0 -0.0024 0.0489 0.0377 0.0199 0.0032 -0.0061
525.5 -0.0025 0.0483 0.0373 0.0197 0.0032 -0.0062
526.0 -0.0022 0.0475 0.0369 0.0196 0.0032 -0.0062
526.5 -0.0026 0.0468 0.0362 0.0190 0.0030 -0.0062
527.0 -0.0027 0.0463 0.0359 0.0187 0.0029 -0.0062
527.5 -0.0028 0.0458 0.0352 0.0185 0.0026 -0.0062
528.0 -0.0028 0.0452 0.0345 0.0184 0.0027 -0.0061
528.5 -0.0027 0.0444 0.0343 0.0181 0.0025 -0.0063
529.0 -0.0027 0.0438 0.0336 0.0177 0.0028 -0.0061
529.5 -0.0028 0.0430 0.0330 0.0175 0.0024 -0.0060
530.0 -0.0028 0.0423 0.0321 0.0169 0.0022 -0.0063
530.5 -0.0026 0.0418 0.0317 0.0167 0.0023 -0.0062
531.0 -0.0025 0.0410 0.0310 0.0166 0.0020 -0.0059
531.5 -0.0024 0.0404 0.0307 0.0163 0.0024 -0.0057
532.0 -0.0027 0.0395 0.0296 0.0159 0.0022 -0.0059
532.5 -0.0029 0.0385 0.0288 0.0155 0.0020 -0.0061
533.0 -0.0030 0.0379 0.0286 0.0150 0.0017 -0.0062
533.5 -0.0027 0.0371 0.0280 0.0148 0.0019 -0.0059
534.0 -0.0029 0.0366 0.0272 0.0147 0.0020 -0.0062
534.5 -0.0029 0.0360 0.0268 0.0143 0.0017 -0.0057
535.0 -0.0027 0.0351 0.0261 0.0137 0.0018 -0.0062
535.5 -0.0028 0.0344 0.0252 0.0136 0.0016 -0.0062
536.0 -0.0030 0.0333 0.0243 0.0132 0.0011 -0.0060
536.5 -0.0027 0.0327 0.0240 0.0133 0.0019 -0.0060
537.0 -0.0029 0.0317 0.0232 0.0128 0.0018 -0.0061
537.5 -0.0028 0.0313 0.0228 0.0127 0.0018 -0.0061
538.0 -0.0028 0.0304 0.0222 0.0124 0.0018 -0.0062
538.5 -0.0029 0.0297 0.0215 0.0121 0.0016 -0.0060
539.0 -0.0029 0.0287 0.0207 0.0115 0.0013 -0.0062
539.5 -0.0027 0.0283 0.0201 0.0116 0.0015 -0.0061
540.0 -0.0028 0.0274 0.0195 0.0110 0.0015 -0.0060
540.5 -0.0027 0.0270 0.0189 0.0108 0.0013 -0.0059
541.0 -0.0029 0.0260 0.0183 0.0103 0.0011 -0.0060
541.5 -0.0030 0.0254 0.0180 0.0104 0.0013 -0.0060
542.0 -0.0030 0.0245 0.0170 0.0097 0.0008 -0.0062
542.5 -0.0026 0.0240 0.0165 0.0095 0.0008 -0.0060
543.0 -0.0032 0.0232 0.0159 0.0091 0.0011 -0.0061
543.5 -0.0032 0.0226 0.0152 0.0089 0.0005 -0.0062
544.0 -0.0030 0.0219 0.0150 0.0088 0.0009 -0.0058
544.5 -0.0030 0.0212 0.0144 0.0084 0.0007 -0.0060
545.0 -0.0027 0.0205 0.0139 0.0082 0.0006 -0.0061
545.5 -0.0032 0.0199 0.0130 0.0078 0.0005 -0.0063
546.0 -0.0031 0.0193 0.0126 0.0075 0.0006 -0.0060
546.5 -0.0032 0.0186 0.0121 0.0073 0.0004 -0.0058
547.0 -0.0032 0.0182 0.0118 0.0072 0.0004 -0.0059
547.5 -0.0033 0.0176 0.0111 0.0068 0.0003 -0.0059
548.0 -0.0030 0.0168 0.0107 0.0065 0.0002 -0.0062
548.5 -0.0032 0.0165 0.0102 0.0061 0.0002 -0.0061
549.0 -0.0030 0.0158 0.0097 0.0061 0.0001 -0.0059
549.5 -0.0032 0.0152 0.0093 0.0058 0.0000 -0.0061
550.0 -0.0031 0.0149 0.0088 0.0054 -0.0003 -0.0062
550.5 -0.0033 0.0143 0.0085 0.0053 -0.0001 -0.0060
551.0 -0.0034 0.0138 0.0081 0.0052 -0.0003 -0.0059
551.5 -0.0033 0.0131 0.0077 0.0047 -0.0004 -0.0060
552.0 -0.0032 0.0129 0.0075 0.0047 -0.0002 -0.0060
552.5 -0.0030 0.0127 0.0073 0.0049 -0.0002 -0.0058
553.0 -0.0032 0.0123 0.0066 0.0046 -0.0004 -0.0060
553.5 -0.0032 0.0116 0.0062 0.0042 -0.0005 -0.0060
554.0 -0.0031 0.0115 0.0062 0.0041 -0.0003 -0.0056
554.5 -0.0033 0.0106 0.0054 0.0038 -0.0005 -0.0061
555.0 -0.0031 0.0106 0.0053 0.0037 -0.0003 -0.0060
555.5 -0.0032 0.0101 0.0051 0.0035 -0.0004 -0.0059
556.0 -0.0034 0.0097 0.0046 0.0033 -0.0007 -0.0060
556.5 -0.0032 0.0092 0.0044 0.0035 -0.0005 -0.0060
557.0 -0.0031 0.0090 0.0039 0.0030 -0.0007 -0.0060
557.5 -0.0030 0.0087 0.0041 0.0031 -0.0004 -0.0058
558.0 -0.0035 0.0081 0.0033 0.0028 -0.0009 -0.0063
558.5 -0.0032 0.0079 0.0032 0.0027 -0.0007 -0.0062
559.0 -0.0033 0.0075 0.0028 0.0025 -0.0009 -0.0061
559.5 -0.0033 0.0074 0.0027 0.0023 -0.0009 -0.0060
